token,Embedding,LayerNorm,QKV Projection,Attn Core (KV+Softmax),O Projection,MLP,LM Head,total_ms,accounted_ms,framework_oh_ms
1,0.2296,9.4993,14.9145,9.0383,6.4539,22.2025,1.5604,61.3285,63.8985,0.0000
2,0.1705,9.0510,13.8515,5.1652,5.5031,17.0698,1.1471,61.0031,51.9582,9.0448
3,0.1867,9.1095,13.8245,4.9707,5.5370,16.9306,1.2579,61.0056,51.8169,9.1888
4,0.1883,9.0473,13.7899,5.0630,5.5272,17.2850,1.1377,61.5984,52.0384,9.5600
5,0.1926,9.3495,13.6072,5.2555,5.7370,17.2116,1.1424,61.5582,52.4958,9.0623
6,0.1745,9.6807,13.6390,5.1418,5.5258,17.1160,1.1757,60.9133,52.4535,8.4597
7,0.1913,8.9057,13.7769,5.0241,5.5826,16.7289,1.1955,60.7307,51.4051,9.3257
8,0.1761,8.9785,13.7387,4.9753,5.5657,17.0097,1.1633,60.9641,51.6073,9.3568
9,0.1856,9.1371,13.7610,5.0369,5.6329,16.9034,1.2237,60.6981,51.8806,8.8175
10,0.1815,9.0113,13.7938,4.9992,5.4428,16.9956,1.2214,61.4570,51.6456,9.8114
11,0.1718,9.1479,13.5637,5.1683,5.5787,17.3538,1.1426,61.6464,52.1267,9.5197
12,0.1732,9.0322,13.9607,5.1938,5.7009,17.2049,1.1751,60.4040,52.4408,7.9632
13,0.1863,8.7258,13.5638,5.2048,5.5089,17.0925,1.1455,60.6279,51.4276,9.2003
14,0.1766,8.9215,13.8648,5.1102,5.4629,16.9454,1.1845,61.1769,51.6659,9.5110
15,0.1766,8.9980,13.7264,5.1215,5.5474,17.0033,1.2595,60.7844,51.8325,8.9518
16,0.1868,8.9436,13.7653,5.0762,5.5078,17.1196,1.1473,61.1776,51.7466,9.4310
17,0.1705,8.9609,13.8092,5.2393,5.5543,17.2392,1.1611,60.9266,52.1345,8.7921
18,0.1865,9.0538,13.8148,5.2807,5.5246,16.8703,1.1678,60.7842,51.8986,8.8856
19,0.2042,9.0119,13.8638,5.1737,5.4671,16.8355,1.1597,60.8310,51.7159,9.1151
20,0.1767,9.0579,13.6718,5.1648,5.5657,17.1459,1.1518,61.6008,51.9345,9.6663
21,0.1745,9.2530,13.4030,5.4137,5.5998,17.4444,1.1541,61.0830,52.4425,8.6405
22,0.1828,9.0385,13.6826,5.4200,5.4922,16.9452,1.2072,61.5036,51.9685,9.5351
23,0.2212,8.9397,13.7757,5.5425,5.6250,17.1310,1.1425,61.4149,52.3777,9.0372
24,0.2227,9.3227,13.7960,5.1752,5.5408,17.2358,1.1906,60.9168,52.4839,8.4330
25,0.1843,9.0725,13.7837,5.2455,5.5443,16.9545,1.1622,60.9045,51.9470,8.9574
26,0.1965,8.9648,13.5931,5.3892,5.5324,16.9852,1.1608,60.8921,51.8221,9.0700
27,0.1814,9.0028,13.6078,5.3768,5.4203,17.0691,1.2320,64.2657,51.8902,12.3755
28,0.1844,9.4194,14.4257,6.3138,5.9530,17.1195,1.3801,64.7206,54.7960,9.9246
29,0.2076,10.2725,13.8181,5.9280,5.8532,18.0511,1.1976,63.8578,55.3282,8.5295
30,0.1956,9.7833,13.3238,5.8742,5.6455,18.6384,1.2070,65.7945,54.6678,11.1267
